achiote,https://en.wikipedia.org/wiki/Bixa_orellana,,Bixa orellana
ackee,https://en.wikipedia.org/wiki/Ackee,,Blighia sapida
acuyo,https://en.wikipedia.org/wiki/Piper_auritum,,Piper auritum
alexanders,https://en.wikipedia.org/wiki/Alexanders,,Smyrnium olusatrum
alfalfa,https://en.wikipedia.org/wiki/Alfalfa,,Medicago sativa
allspice,https://en.wikipedia.org/wiki/Allspice,,Pimenta dioica
almond,https://en.wikipedia.org/wiki/Almond,,Prunus dulcis
amaranth,https://en.wikipedia.org/wiki/Amaranth,,Amaranthus spp.
anise,https://en.wikipedia.org/wiki/Anise,,Pimpinella anisum
apple,https://en.wikipedia.org/wiki/Apple,,Malus domestica
apple mint,https://en.wikipedia.org/wiki/Apple_mint,,Mentha suaveolens
apricot,https://en.wikipedia.org/wiki/Apricot,,Prunus armeniaca
arrowroot,https://en.wikipedia.org/wiki/Maranta_arundinacea,,Maranta arundinacea
artichoke,https://en.wikipedia.org/wiki/Artichoke,,Cynara cardunculus
arugula,https://en.wikipedia.org/wiki/Arugula,,Eruca sativa
asparagus,https://en.wikipedia.org/wiki/Asparagus,,Asparagus officinalis
avocado,https://en.wikipedia.org/wiki/Avocado,,Persea americana
banana,https://en.wikipedia.org/wiki/Banana,,Musa spp.
barley,https://en.wikipedia.org/wiki/Barley,,Hordeum vulgare
basil,https://en.wikipedia.org/wiki/Basil,,Ocimum basilicum
bay,https://en.wikipedia.org/wiki/Bay_Laurel,,Laurus nobilis
bean,https://en.wikipedia.org/wiki/Common_bean,,Phaseolus vulgaris
beet,https://en.wikipedia.org/wiki/Beet,,Beta vulgaris
bell pepper,https://en.wikipedia.org/wiki/Bell_pepper,,Capsicum annuum
bitter melon,https://en.wikipedia.org/wiki/Bitter_melon,,Momordica charantia
blackberry,https://en.wikipedia.org/wiki/Blackberry,,Rubus fruticosus
blackcurrant,https://en.wikipedia.org/wiki/Ribes,,Ribes spp.
borage,https://en.wikipedia.org/wiki/Borage,,Borago officinalis
breadfruit,https://en.wikipedia.org/wiki/Breadfruit,,Artocarpus altilis
broccoli,https://en.wikipedia.org/wiki/Broccoli,,Brassica oleracea
Brussels sprout,https://en.wikipedia.org/wiki/Brussels_sprout,,Brassica oleracea
buckwheat,https://en.wikipedia.org/wiki/Buckwheat,,Fagopyrum esculentum
cabbage,https://en.wikipedia.org/wiki/Cabbage,,Brassica oleracea
cape gooseberry,https://en.wikipedia.org/wiki/Physalis_peruviana,,Physalis peruviana
caper,https://en.wikipedia.org/wiki/Caper,,Capparis spinosa
cardoon,https://en.wikipedia.org/wiki/Cardoon,,Cynara cardunculus
carrot,https://en.wikipedia.org/wiki/Carrot,,Daucus carota
cassava,https://en.wikipedia.org/wiki/Cassava,,Manihot esculenta
catnip,https://en.wikipedia.org/wiki/Nepeta_cataria,,Nepeta cataria
cauliflower,https://en.wikipedia.org/wiki/Cauliflower,,Brassica oleracea
cayenne pepper,https://en.wikipedia.org/wiki/Cayenne_pepper,,Capsicum annuum
celeriac,https://en.wikipedia.org/wiki/Celeriac,,Apium graveolens var. rapaceum
celery,https://en.wikipedia.org/wiki/Celery,,Apium graveolens
chamomile,https://en.wikipedia.org/wiki/Matricaria_recutita,,Matricaria chamomila
chaya,https://en.wikipedia.org/wiki/Cnidoscolus_aconitifolius,,Cnidoscolus aconitifolius
chayote,https://en.wikipedia.org/wiki/Chayote,,Sechium edule
cherry,https://en.wikipedia.org/wiki/Cherry,,Prunus avium
chervil,https://en.wikipedia.org/wiki/Chervil,,Anthriscus cerefolium
chestnut,https://en.wikipedia.org/wiki/Chestnut,,Castanea spp.
chickpeas,https://en.wikipedia.org/wiki/Chickpea,,Cicer arietinum
chickweed,https://en.wikipedia.org/wiki/Stellaria,,Stellaria
chicory,https://en.wikipedia.org/wiki/Chicory,,Cichorium intybus
chinese cabbage,https://en.wikipedia.org/wiki/Chinese_cabbage,,Brassica rapa (pekinensis)
chives,https://en.wikipedia.org/wiki/Chives,,Allium schoenoprasum
cicely,https://en.wikipedia.org/wiki/Cicely,,Myrrhis odorata
citron,https://en.wikipedia.org/wiki/Citron,,Citrus medica
coconut,https://en.wikipedia.org/wiki/Coconut,,Cocos nucifera
collard greens,https://en.wikipedia.org/wiki/Collard_greens,,Brassica oleracea (acephala)
comfrey,https://en.wikipedia.org/wiki/Comfrey,,Symphytum officinale
coriander,https://en.wikipedia.org/wiki/Coriander,,Coriandrum sativum
corn,https://en.wikipedia.org/wiki/Corn,,Zea mays
corn salad,https://en.wikipedia.org/wiki/Corn_salad,,Valerianella locusta
cress,https://en.wikipedia.org/wiki/Garden_cress,,Lepidium sativum
cucumber,https://en.wikipedia.org/wiki/Cucumbers,,Cucumis sativus
cumin,https://en.wikipedia.org/wiki/Cumin,,Cuminum cyminum
cumquat,https://en.wikipedia.org/wiki/Kumquat,,Citrus japonica
curry leaf,https://en.wikipedia.org/wiki/Curry-leaf_Tree,,Murraya koenigii
curry plant,https://en.wikipedia.org/wiki/Helichrysum_italicum,,Helichrysum italicum
daikon,https://en.wikipedia.org/wiki/Daikon,,Raphanus sativus Longipinnatus group
dandelion,https://en.wikipedia.org/wiki/Dandelion,,Taraxacum officinale
dates,https://en.wikipedia.org/wiki/Date_%28fruit%29,,Phoenix dactylifera
desert lime,https://en.wikipedia.org/wiki/Citrus_glauca,,Citrus glauca
dill,https://en.wikipedia.org/wiki/Dill,,Anethum graveolens
dog rose,https://en.wikipedia.org/wiki/Rosa_canina,,Rosa canina
durian,https://en.wikipedia.org/wiki/Durian,,Durio
eggplant,https://en.wikipedia.org/wiki/Eggplant,,Solanum melongena
elderberry,https://en.wikipedia.org/wiki/Sambucus_nigra,,Sambucus nigra
endive,https://en.wikipedia.org/wiki/Endive,,Cichorium endivia
epazote,https://en.wikipedia.org/wiki/Epazote,,Dysphania ambrosioides
fava bean,https://en.wikipedia.org/wiki/Vicia_faba,,Vicia faba
feijoa,https://en.wikipedia.org/wiki/Acca_sellowiana,,Acca sellowiana
fennel,https://en.wikipedia.org/wiki/Fennel,,Foeniculum vulgare
fenugreek,https://en.wikipedia.org/wiki/Fenugreek,,Trigonella foenum-graecum
fiddlehead,https://en.wikipedia.org/wiki/Fiddlehead,,Pteridium aquilinum
fig,https://en.wikipedia.org/wiki/Common_fig,,Ficus carica
flax,https://en.wikipedia.org/wiki/Flax,,Linum usitatissimum
garlic,https://en.wikipedia.org/wiki/Garlic,,Allium sativum
garlic chives,https://en.wikipedia.org/wiki/Garlic_chives,,Allium tuberosum
