Achiote,Bixa orellana,https://en.wikipedia.org/wiki/Bixa_orellana
Ackee,Blighia sapida,https://en.wikipedia.org/wiki/Ackee
Acuyo,Piper auritum,https://en.wikipedia.org/wiki/Piper_auritum
Alexanders,Smyrnium olusatrum,https://en.wikipedia.org/wiki/Alexanders
Alfalfa,Medicago sativa,https://en.wikipedia.org/wiki/Alfalfa
Allspice,Pimenta dioica,https://en.wikipedia.org/wiki/Allspice
Almond,Prunus dulcis,https://en.wikipedia.org/wiki/Almond
Amaranth,Amaranthus spp.,https://en.wikipedia.org/wiki/Amaranth
Anise,Pimpinella anisum,https://en.wikipedia.org/wiki/Anise
Apple,Malus domestica,https://en.wikipedia.org/wiki/Apple
Apple mint,Mentha suaveolens,https://en.wikipedia.org/wiki/Apple_mint
Apricot,Prunus armeniaca,https://en.wikipedia.org/wiki/Apricot
Arrowroot,Maranta arundinacea,https://en.wikipedia.org/wiki/Maranta_arundinacea
Artichoke,Cynara cardunculus,https://en.wikipedia.org/wiki/Artichoke
Arugula,Eruca sativa,https://en.wikipedia.org/wiki/Arugula
Asparagus,Asparagus officinalis,https://en.wikipedia.org/wiki/Asparagus
Avocado,Persea americana,https://en.wikipedia.org/wiki/Avocado
Banana,Musa spp.,https://en.wikipedia.org/wiki/Banana
Barley,Hordeum vulgare,https://en.wikipedia.org/wiki/Barley
Basil,Ocimum basilicum,https://en.wikipedia.org/wiki/Basil
Bay,Laurus nobilis,https://en.wikipedia.org/wiki/Bay_Laurel
Bean,Phaseolus vulgaris,https://en.wikipedia.org/wiki/Common_bean
Beet,Beta vulgaris,https://en.wikipedia.org/wiki/Beet
Bell pepper,Capsicum annuum,https://en.wikipedia.org/wiki/Bell_pepper
Bitter melon,Momordica charantia,https://en.wikipedia.org/wiki/Bitter_melon
Blackberry,Rubus fruticosus,https://en.wikipedia.org/wiki/Blackberry
Blackcurrant,Ribes spp.,https://en.wikipedia.org/wiki/Ribes
Borage,Borago officinalis,https://en.wikipedia.org/wiki/Borage
Breadfruit,Artocarpus altilis,https://en.wikipedia.org/wiki/Breadfruit
Broccoli,Brassica oleracea,https://en.wikipedia.org/wiki/Broccoli
brussels sprout,Brassica oleracea,https://en.wikipedia.org/wiki/Brussels_sprout
