Downer,Australian Capital Territory,ACT,-35.244,149.1435
O'Connor,Australian Capital Territory,ACT,-35.2564,149.1125
Watson,Australian Capital Territory,ACT,-35.2347,149.1594
Dickson,Australian Capital Territory,ACT,-35.2528,149.1417
Lyneham,Australian Capital Territory,ACT,-35.2398,149.1307
Hackett,Australian Capital Territory,ACT,-35.2495,149.1635
Ainslie,Australian Capital Territory,ACT,-35.2622,149.1478
Red Hill,Australian Capital Territory,ACT,-35.3334,149.1206
Griffith,Australian Capital Territory,ACT,-35.3253,149.1371
Forrest,Australian Capital Territory,ACT,-35.315,149.1286
Manuka,Australian Capital Territory,ACT,-35.3126,149.1278
Kingston,Australian Capital Territory,ACT,-35.3152,149.1466
Narrabundah,Australian Capital Territory,ACT,-35.3357,149.1492
Causeway,Australian Capital Territory,ACT,-35.3126,149.1278
Garran,Australian Capital Territory,ACT,-35.331,149.0899
Hughes,Australian Capital Territory,ACT,-35.3327,149.0949
Curtin,Australian Capital Territory,ACT,-35.3246,149.0776
Lyons,Australian Capital Territory,ACT,-35.3406,149.074
Woden,Australian Capital Territory,ACT,-35.3481,149.0905
O'Malley,Australian Capital Territory,ACT,-35.3525,149.1128
Phillip,Australian Capital Territory,ACT,-35.3503,149.0915
Swinger Hill,Australian Capital Territory,ACT,-35.3481,149.0905
Chifley,Australian Capital Territory,ACT,-35.3534,149.0768
Farrer,Australian Capital Territory,ACT,-35.3767,149.105
Isaacs,Australian Capital Territory,ACT,-35.3686,149.1156
Torrens,Australian Capital Territory,ACT,-35.372,149.0877
Pearce,Australian Capital Territory,ACT,-35.3622,149.0834
Mawson,Australian Capital Territory,ACT,-35.3634,149.0986
Civic Square,Australian Capital Territory,ACT,-35.31,149.1933
Pialligo,Australian Capital Territory,ACT,-35.3043,149.1792
Fyshwick,Australian Capital Territory,ACT,-35.3333,149.1667
Canberra Airport,Australian Capital Territory,ACT,-35.3172,149.1753
Symonston,Australian Capital Territory,ACT,-35.3516,149.1592
Majura,Australian Capital Territory,ACT,-35.2667,149.2
Canberra Bc,Australian Capital Territory,ACT,-35.2778,149.0111
Canberra Mc,Australian Capital Territory,ACT,-35.2498,149.0591
Wright,Australian Capital Territory,ACT,-35.3503,149.0155
Coombs,Australian Capital Territory,ACT,-35.3503,149.0155
Rivett,Australian Capital Territory,ACT,-35.3471,149.0379
Stromlo,Australian Capital Territory,ACT,-35.3503,149.0155
Duffy,Australian Capital Territory,ACT,-35.3346,149.0319
Coree,Australian Capital Territory,ACT,-35.3503,149.0155
Chapman,Australian Capital Territory,ACT,-35.3562,149.0374
Uriarra Village,Australian Capital Territory,ACT,-35.3503,149.0155
Waramanga,Australian Capital Territory,ACT,-35.353,149.0621
Weston Creek,Australian Capital Territory,ACT,-35.4171,148.7769
Uriarra,Australian Capital Territory,ACT,-35.4171,148.7769
Weston,Australian Capital Territory,ACT,-35.4171,148.7769
Fisher,Australian Capital Territory,ACT,-35.4171,148.7769
Stirling,Australian Capital Territory,ACT,-35.4171,148.7769
Holder,Australian Capital Territory,ACT,-35.4171,148.7769
Mount Stromlo,Australian Capital Territory,ACT,-35.4171,148.7769
Braddon,Australian Capital Territory,ACT,-35.2708,149.1357
Campbell,Australian Capital Territory,ACT,-35.2891,149.1538
Turner,Australian Capital Territory,ACT,-35.2688,149.1247
Reid,Australian Capital Territory,ACT,-35.2858,149.1391
Scullin,Australian Capital Territory,ACT,-35.2346,149.039
Aranda,Australian Capital Territory,ACT,-35.2582,149.0804
Cook,Australian Capital Territory,ACT,-35.2601,149.0657
Jamison Centre,Australian Capital Territory,ACT,-35.2498,149.0591
Macquarie,Australian Capital Territory,ACT,-35.2513,149.0636
Hawker,Australian Capital Territory,ACT,-35.2471,149.0367
Page,Australian Capital Territory,ACT,-35.2386,149.0499
Weetangera,Australian Capital Territory,ACT,-35.2498,149.0591
